epoch,train_loss,test_acc
1,3.1159158515198455,34.09
2,2.4055156527882646,41.1
3,2.173596338847714,44.28
4,2.02847344491183,46.85
5,1.9140280308321005,49.01
6,1.8223503489628472,49.73
7,1.7634242419391641,50.83
8,1.688948804155335,51.86
9,1.6390275257017912,52.13
10,1.584487137282291,53.11
11,1.54476446324907,53.29
12,1.4872188998000395,52.22
13,1.4546135825574245,54.42
14,1.4245441487378172,53.71
15,1.4010584889470463,54.35
16,1.347951035060541,54.26
17,1.3133855006274056,55.47
18,1.2797096362504203,56.46
19,1.264261306246833,56.07
20,1.228879329950913,56.61
21,1.1927670671811799,55.97
22,1.1732621156346157,55.95
23,1.1409279669032377,55.09
24,1.117860839037639,54.97
25,1.0917176796347283,57.77
26,1.074351882233339,55.9
27,1.0478725033952756,55.48
28,1.014371106234353,56.65
29,1.0050439233975033,55.91
30,0.9794017684734081,56.58
31,0.9600514101860164,57.45
32,0.9484301964035424,56.26
33,0.9157901996236932,57.02
34,0.8993168130250233,56.44
35,0.8750287648052206,55.98
36,0.8570607906717169,55.68
37,0.8391296554099569,56.78
38,0.8297895075719984,56.76
39,0.8061667272197012,56.08
40,0.807614544011138,56.88
41,0.7873365311976284,55.13
42,0.7810741121811635,56.69
43,0.7621969401531512,57.64
44,0.7508468191946864,56.13
45,0.7339748508485077,56.7
46,0.7275392504604271,56.23
47,0.7194315586096186,55.94
48,0.6960737824135119,56.72
49,0.6931820891397383,56.21
50,0.680266589688523,56.32
